ticker,avg_daily_return,volatility,avg_volume,price_range,cluster,is_outlier
A,0.00034635954381602267,0.017460297005937625,1720524.025974026,96.71563720703125,12,False
AA,0.0016573030745314502,0.03719746280686569,6362238.14935065,84.50497150421143,15,False
AACG,0.007885575721222579,0.27834628022080815,420443.58766233764,13.800000190734863,0,False
AACT,0.00022024196481378592,0.0012630802375133252,227006.88073394494,1.0299997329711914,0,False
AAL,0.0005856811084638469,0.03528941130350667,40706997.88961039,16.75,5,True
AAM,0.00021586648350395144,0.002184458509193269,146006.66666666666,0.4099998474121076,0,False
AAME,0.0009793067227420829,0.05494567611314929,149784.33441558442,4.9458818435668945,0,False
AAMI,0.0011931382480302457,0.023344658781880755,446407.14285714284,23.08828163146973,0,False
AAOI,0.0023513281141704957,0.0664518794146469,1556430.357142857,42.52999877929688,12,False
AAON,0.001042171153493924,0.023747350859994562,405647.8896103896,109.06382369995117,0,False
AAP,-0.0006931789342643564,0.025916506697391303,1429445.9415584416,191.3007583618164,12,False
AAPG,-0.0010247680446031457,0.04111273881151755,40648.3870967742,5.369998931884766,0,False
AAPL,0.0009478267805152452,0.01883638248173983,81748843.18181819,182.53726959228516,11,True
AAT,0.00012109597673996569,0.02102195023870039,324066.2337662338,18.751181602478027,0,False
AB,0.0009020232383752734,0.018735199598856344,369909.25324675324,27.500487327575684,0,False
ABAT,0.003107393558526522,0.0822557529430286,588095.7077922078,60.36500000953674,0,False
ABBV,0.0007862581911317151,0.014107416669168074,6364905.194805195,148.75093078613273,15,False
ABCB,0.001057272986161338,0.024557182538163413,401545.12987012987,52.82547569274902,0,False
ABCL,-0.0018462719759446567,0.04251743780402896,2069155.07518797,51.27000081539154,12,False
ABEO,-0.0006443841620100392,0.05520562905383931,215253.65584415584,83.25,0,False
ABEV,0.0004407532911367753,0.022290743848169023,23771455.925324675,1.6080213785171509,14,True
ABG,0.0013285097080009437,0.02744186754976273,210565.3409090909,237.0599822998047,0,False
ABL,0.00016576727219936958,0.02704213252365674,72020.32374100719,6.720000267028809,0,False
ABLLL,0.0004592681491930567,0.021106527500941545,11600.934579439252,11.323404312133789,0,False
ABLV,-0.00015888837559579274,0.096078459395987,54891.00529100529,2.8500000834465027,0,False
ABM,0.000593837369674856,0.021707959540329988,442460.3896103896,30.065797805786133,0,False
ABNB,4.037858911493124e-05,0.03061883517727723,5882878.873239436,134.34999847412112,15,False
ABOS,-0.0010458100641109708,0.06351036964214066,392494.60043196543,17.87600040435791,0,False
ABP,-0.004237084907593616,0.05327304826709064,115105.0406504065,12.130000352859497,0,False
ABR,0.0010246983789013338,0.023697957797674928,2718340.422077922,10.399369716644287,12,False
ABSI,-0.00031288214892448744,0.06184389619268833,1198982.1271929825,20.419999718666077,12,False
ABT,0.0004462575836719592,0.014260459617969158,5491194.886363637,59.952308654785156,9,False
ABTS,0.01327161775706768,0.402470166090496,584568.6688311688,29.018000453710556,0,False
ABUS,0.0015980156183836875,0.053969002987433595,2196623.538961039,4.5599998235702515,12,False
ABVC,7.780184187541204e-05,0.08223288943183155,407951.4662273476,59.880999237298965,0,False
ABVE,-0.002696577033294559,0.09142662929530257,351157.5581395349,1.1270000636577606,0,False
ABVX,-0.0009731078278630257,0.03318541040668652,126952.02312138729,10.720000267028809,0,False
AC,0.00022802847531666119,0.021092500257179247,9578.335227272728,15.265010833740234,0,False
ACA,0.0009363873191630437,0.022738727086963215,244969.8051948052,78.2732696533203,0,False
ACAD,-0.00027355478581354365,0.03771773264879305,1700637.1753246754,43.989999771118164,12,False
ACB,-0.001028234080960164,0.06520679170161586,1564426.0876623376,186.309996843338,12,False
ACCO,9.119385744387516e-05,0.025656957718969038,596969.3181818182,4.5470569133758545,0,False
ACCS,0.0003023914466888816,0.032908420749041566,14382.62987012987,24.630000591278076,0,False
ACDC,-0.0012270282056135986,0.04365163900596252,658979.207920792,21.409999370574948,0,False
ACEL,0.0005167586371004758,0.025763900752120282,281643.3441558442,7.200000286102295,0,False
ACET,-0.000831698406104539,0.058565688648911464,586392.4959415584,20.952999621629722,0,False
ACGL,0.0012704539670992424,0.017297582952580826,1991018.668831169,86.13239097595216,12,False
ACGLN,-0.00018544551815692759,0.010605165396052996,52049.57716701903,6.916983604431152,0,False
ACGLO,0.0001226468959675669,0.008648617678174765,22168.506493506495,5.999904632568359,0,False
ACHC,0.0003229583618149977,0.024889107651561295,734672.9707792208,64.95999717712402,0,False
ACHR,0.0009823407382785782,0.053426116751276516,7252723.796033994,15.509999394416809,15,False
ACHV,-3.768185522418674e-05,0.043731906048723346,154564.62662337662,13.790000438690186,0,False
ACI,0.0008183899734658039,0.01986512049710739,3161418.882303133,16.82849025726318,9,False
ACIC,0.00209098188432582,0.05979022836281023,248793.18181818182,13.489569336175919,0,False
ACIU,-6.725040207909579e-05,0.0501133269806428,443137.0941558442,7.580000400543213,0,False
ACIW,0.0008276074778766351,0.022605654255584674,735833.1168831169,39.45000076293945,0,False
ACLS,0.00114191293035257,0.034518737253099396,487485.55194805196,179.97999572753903,0,False
ACLX,0.0025229861072526352,0.04223635925580831,509162.4516129032,99.3199987411499,0,False
ACM,0.000981581520425299,0.017299119369217273,895681.737012987,83.5004539489746,12,False
ACMR,0.0013087865213661399,0.05302089086555793,1111969.724025974,40.69999980926514,12,False
ACN,0.0005044907041455767,0.016487380422715043,2328437.337662338,220.14254760742188,12,False
ACNB,0.0008464840892014637,0.025159725518534643,19906.33116883117,33.32956123352051,0,False
ACNT,0.0006624957721455556,0.03156264791068152,28483.847402597403,15.170000076293945,0,False
